Employee_ID,Employee_Name,Department,Designation,Experience_Level,Location,Assessment_Date,Skill_Name,Skill_Category,Current_Skill_Level,Required_Skill_Level,Skill_Gap,Training_Priority,Training_Recommendation,Training_Method,Estimated_Training_Hours,Estimated_Training_Cost_USD,Proposed_Timeline,Overall_Performance_Rating,Technical_Performance_Rating,Behavioral_Performance_Rating,Manager_Approval,Business_Impact,Training_Status,Last_Training_Date,Trainer_Assigned,Training_Completion_Percentage,Post_Training_Assessment_Score
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-07,CI/CD,Technical,1,4,3,Critical,Intensive CI/CD training required,Certification,34,6188,6 weeks,3,5,2,Approved,Medium - Improves efficiency,Not Started,2024-11-16,External Trainer,59,
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-22,Adaptability,Behavioral,4,5,1,Medium,Soft skills enhancement for Adaptability,Mentoring,19,3610,4 months,3,5,2,Approved,High - Required for client engagement,Completed,2025-03-03,Online Platform,98,
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-26,Emotional Intelligence,Behavioral,2,4,2,High,Comprehensive Emotional Intelligence development program,Workshop,29,3567,2 months,3,5,2,Pending,Low - Nice to have,Not Started,2025-04-28,External Trainer,29,
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-23,System Design,Technical,2,5,3,Critical,Intensive System Design training required,Online Course,33,5148,6 weeks,3,5,2,Pending,High - Required for client engagement,Not Started,2025-03-24,TBD,49,96.0
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-12,Initiative Taking,Untrainable,4,4,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,6 months,3,5,2,Pending,Low - Nice to have,Cancelled,2024-12-05,External Trainer,62,77.0
EMP0004,Employee_EMP0004,Business Analysis,Project Manager,8-12 years,Delhi,2025-07-13,Conflict Resolution,Behavioral,4,4,0,Low,Maintain Conflict Resolution effectiveness,Mentoring,0,0,12 months,3,5,2,Pending,High - Required for client engagement,In Progress,2024-11-10,External Trainer,79,85.0
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-12,Bootstrap,Technical,1,5,4,Critical,Intensive Bootstrap training required,Online Course,54,7506,1 month,4,2,1,Approved with Conditions,High - Critical for project delivery,Not Started,2025-06-22,External Trainer,25,99.0
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-14,Docker,Technical,2,3,1,Medium,Refresher training for Docker,Workshop,12,948,6 months,4,2,1,Approved,High - Required for client engagement,Completed,2024-12-31,External Trainer,77,70.0
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-24,Spring Boot,Technical,3,3,0,Low,Maintain current Spring Boot proficiency,Mentoring,9,504,12 months,4,2,1,Approved with Conditions,High - Required for client engagement,In Progress,2025-05-30,External Trainer,13,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-15,Client Management,Behavioral,5,3,0,Low,Maintain Client Management effectiveness,Mentoring,0,0,12 months,4,2,1,Approved with Conditions,High - Required for client engagement,Completed,2025-06-02,Online Platform,1,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-23,Express.js,Technical,4,3,0,Low,Maintain current Express.js proficiency,Mentoring,6,852,As needed,4,2,1,Pending,Medium - Improves efficiency,In Progress,2024-10-13,Online Platform,78,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-28,Responsive Design,Technical,4,4,0,Low,Maintain current Responsive Design proficiency,Mentoring,9,1062,12 months,4,2,1,Approved,High - Critical for project delivery,Cancelled,2025-03-05,TBD,72,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-25,Git/GitHub,Technical,3,3,0,Low,Maintain current Git/GitHub proficiency,Mentoring,7,931,6 months,4,2,1,Pending,Medium - Improves efficiency,Completed,2025-01-14,Online Platform,76,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-21,Team Collaboration,Behavioral,5,3,0,Low,Maintain Team Collaboration effectiveness,Mentoring,8,784,6 months,4,2,1,Approved,High - Required for client engagement,In Progress,2024-11-06,TBD,57,65.0
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-07-21,Vue.js,Technical,3,3,0,Low,Maintain current Vue.js proficiency,Mentoring,6,672,12 months,4,2,1,Approved with Conditions,Low - Nice to have,Completed,2024-12-02,Online Platform,45,
EMP0005,Employee_EMP0005,Frontend Development,Senior Developer,8-12 years,Hyderabad,2025-08-02,Kubernetes,Technical,3,4,1,Medium,Refresher training for Kubernetes,Online Course,16,1280,6 months,4,2,1,Approved,Low - Nice to have,In Progress,2025-03-31,External Trainer,94,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-21,CI/CD,Technical,2,5,3,Critical,Intensive CI/CD training required,Online Course,51,2703,2 months,3,1,2,Pending,High - Required for client engagement,Cancelled,2025-01-14,External Trainer,6,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-08-01,System Design,Technical,4,3,0,Low,Maintain current System Design proficiency,Mentoring,1,152,12 months,3,1,2,Approved,High - Critical for project delivery,In Progress,2024-09-22,Online Platform,10,67.0
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-07,Git/GitHub,Technical,5,4,0,Low,Maintain current Git/GitHub proficiency,Mentoring,9,963,As needed,3,1,2,Pending,High - Required for client engagement,Cancelled,2025-02-05,TBD,39,99.0
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-31,Spring Boot,Technical,1,3,2,High,Intensive Spring Boot training required,Certification,60,7020,2 months,3,1,2,Approved,Medium - Improves efficiency,Not Started,2025-04-18,Internal Trainer,52,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-14,Conflict Resolution,Behavioral,5,4,0,Low,Maintain Conflict Resolution effectiveness,Mentoring,4,232,6 months,3,1,2,Pending,Low - Nice to have,Cancelled,2025-06-01,External Trainer,33,87.0
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-31,Azure,Technical,1,5,4,Critical,Intensive Azure training required,Certification,34,4012,1 month,3,1,2,Approved,High - Critical for project delivery,Completed,2024-09-06,Online Platform,56,89.0
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-17,Code Review,Technical,3,5,2,High,Intensive Code Review training required,Workshop,45,8010,3 months,3,1,2,Pending,High - Critical for project delivery,Not Started,2024-11-28,Online Platform,77,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-20,Docker,Technical,1,3,2,High,Intensive Docker training required,Online Course,34,4012,2 months,3,1,2,Approved,High - Required for client engagement,Cancelled,2025-02-15,External Trainer,74,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-15,Emotional Intelligence,Behavioral,4,3,0,Low,Maintain Emotional Intelligence effectiveness,Mentoring,7,973,12 months,3,1,2,Pending,Low - Nice to have,Not Started,2025-04-16,Online Platform,52,
EMP0006,Employee_EMP0006,DevOps,UI/UX Designer,12+ years,Pune,2025-07-22,Cultural Fit,Untrainable,3,5,2,High,Assessment Only - Monitor Performance,Assessment Only,0,0,3 months,3,1,2,Approved with Conditions,High - Critical for project delivery,Not Started,2025-01-27,Online Platform,41,85.0
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-14,Initiative Taking,Untrainable,4,3,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,6 months,4,1,2,Approved with Conditions,Medium - Improves efficiency,In Progress,2025-01-29,Internal Trainer,70,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-20,Client Management,Behavioral,1,3,2,High,Comprehensive Client Management development program,Mentoring,18,1440,2 months,4,1,2,Pending,Low - Nice to have,Completed,2024-12-07,TBD,60,89.0
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-09,Angular,Technical,5,3,0,Low,Maintain current Angular proficiency,Mentoring,6,588,As needed,4,1,2,Approved with Conditions,Medium - Improves efficiency,Not Started,2025-02-16,TBD,43,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-09,Time Management,Behavioral,1,4,3,Critical,Comprehensive Time Management development program,Mentoring,38,7600,2 months,4,1,2,Approved with Conditions,High - Required for client engagement,In Progress,2024-11-21,TBD,44,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-18,Docker,Technical,5,5,0,Low,Maintain current Docker proficiency,Mentoring,6,996,12 months,4,1,2,Approved,Medium - Improves efficiency,Cancelled,2025-03-10,TBD,5,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-20,Agile/Scrum,Technical,4,5,1,Medium,Refresher training for Agile/Scrum,Workshop,20,1760,4 months,4,1,2,Approved,Medium - Improves efficiency,Completed,2025-05-17,TBD,12,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-26,Code Review,Technical,1,5,4,Critical,Intensive Code Review training required,Hands-on Project,29,2581,1 month,4,1,2,Pending,Low - Nice to have,Cancelled,2024-08-09,Internal Trainer,42,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-29,Conflict Resolution,Behavioral,3,5,2,High,Comprehensive Conflict Resolution development program,Mentoring,37,6956,2 months,4,1,2,Approved with Conditions,High - Critical for project delivery,Completed,2025-03-13,Internal Trainer,55,100.0
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-27,Azure,Technical,1,4,3,Critical,Intensive Azure training required,Workshop,30,1710,1 month,4,1,2,Pending,High - Critical for project delivery,Completed,2024-12-28,TBD,18,93.0
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-17,System Design,Technical,4,5,1,Medium,Refresher training for System Design,Online Course,13,1222,3 months,4,1,2,Approved with Conditions,High - Required for client engagement,In Progress,2024-10-26,External Trainer,29,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-08-03,Spring Boot,Technical,3,4,1,Medium,Refresher training for Spring Boot,Mentoring,16,832,4 months,4,1,2,Pending,Medium - Improves efficiency,Cancelled,2025-01-12,Online Platform,81,
EMP0007,Employee_EMP0007,Data Analytics,Junior Developer,12+ years,Chennai,2025-07-09,Learning Attitude,Untrainable,3,4,1,Medium,Assessment Only - Monitor Performance,Assessment Only,0,0,4 months,4,1,2,Approved,High - Required for client engagement,Cancelled,2025-05-14,External Trainer,48,
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-08-03,Node.js,Technical,1,4,3,Critical,Intensive Node.js training required,Online Course,48,9504,6 weeks,4,3,1,Approved with Conditions,Medium - Improves efficiency,Completed,2025-01-21,TBD,22,68.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-07,Client Management,Behavioral,5,4,0,Low,Maintain Client Management effectiveness,Mentoring,8,1424,12 months,4,3,1,Approved,Low - Nice to have,Cancelled,2025-02-06,Online Platform,14,
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-08-05,System Design,Technical,1,3,2,High,Intensive System Design training required,Hands-on Project,34,6528,3 months,4,3,1,Approved,High - Required for client engagement,Completed,2024-10-06,Internal Trainer,58,
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-17,Test-Driven Development,Technical,3,5,2,High,Intensive Test-Driven Development training required,Workshop,44,3388,2 months,4,3,1,Pending,High - Critical for project delivery,Completed,2024-08-29,External Trainer,82,100.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-27,Adaptability,Behavioral,4,5,1,Medium,Soft skills enhancement for Adaptability,Mentoring,12,948,3 months,4,3,1,Approved,High - Critical for project delivery,Cancelled,2025-05-09,Internal Trainer,30,84.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-08,Leadership,Behavioral,4,4,0,Low,Maintain Leadership effectiveness,Mentoring,8,1256,As needed,4,3,1,Approved with Conditions,Medium - Improves efficiency,Cancelled,2024-08-06,Internal Trainer,62,
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-09,Spring Boot,Technical,3,3,0,Low,Maintain current Spring Boot proficiency,Mentoring,5,525,12 months,4,3,1,Pending,Medium - Improves efficiency,Completed,2025-05-18,Online Platform,69,
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-16,Agile/Scrum,Technical,1,4,3,Critical,Intensive Agile/Scrum training required,Certification,37,2997,6 weeks,4,3,1,Approved,Medium - Improves efficiency,Not Started,2025-06-12,Online Platform,31,96.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-12,Code Review,Technical,2,3,1,Medium,Refresher training for Code Review,Online Course,25,5000,3 months,4,3,1,Approved,Low - Nice to have,In Progress,2024-09-05,Internal Trainer,35,68.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-08-05,Azure,Technical,5,4,0,Low,Maintain current Azure proficiency,Mentoring,2,156,As needed,4,3,1,Approved,Medium - Improves efficiency,Completed,2025-03-08,Online Platform,2,76.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-20,AWS,Technical,1,3,2,High,Intensive AWS training required,Online Course,46,3036,3 months,4,3,1,Pending,Low - Nice to have,Not Started,2024-11-18,External Trainer,78,93.0
EMP0008,Employee_EMP0008,DevOps,Solution Architect,0-2 years,Remote,2025-07-15,Time Management,Behavioral,3,4,1,Medium,Soft skills enhancement for Time Management,Workshop,18,1170,4 months,4,3,1,Pending,High - Required for client engagement,Not Started,2024-10-29,TBD,9,80.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-23,AWS,Technical,4,4,0,Low,Maintain current AWS proficiency,Mentoring,3,465,12 months,5,5,5,Pending,High - Required for client engagement,Not Started,2025-01-28,TBD,40,
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-08-03,Progressive Web Apps,Technical,3,3,0,Low,Maintain current Progressive Web Apps proficiency,Mentoring,10,1710,6 months,5,5,5,Approved,High - Critical for project delivery,Cancelled,2025-05-19,Online Platform,16,97.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-09,Docker,Technical,5,5,0,Low,Maintain current Docker proficiency,Mentoring,5,405,12 months,5,5,5,Pending,High - Required for client engagement,Not Started,2025-02-10,Online Platform,45,96.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-29,Learning Attitude,Untrainable,5,3,0,Low,Assessment Only - Monitor Performance,Assessment Only,0,0,6 months,5,5,5,Approved with Conditions,High - Required for client engagement,Not Started,2025-01-09,Online Platform,14,
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-17,Leadership,Behavioral,5,3,0,Low,Maintain Leadership effectiveness,Mentoring,6,1158,As needed,5,5,5,Approved with Conditions,High - Critical for project delivery,Completed,2025-06-23,External Trainer,34,
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-08-03,Git/GitHub,Technical,3,4,1,Medium,Refresher training for Git/GitHub,Online Course,8,688,6 months,5,5,5,Approved with Conditions,High - Required for client engagement,In Progress,2024-08-17,Internal Trainer,11,84.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-12,TypeScript,Technical,4,4,0,Low,Maintain current TypeScript proficiency,Mentoring,5,450,12 months,5,5,5,Pending,Low - Nice to have,Not Started,2025-06-11,External Trainer,20,65.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-28,Problem Solving,Behavioral,3,4,1,Medium,Soft skills enhancement for Problem Solving,Mentoring,18,3132,6 months,5,5,5,Pending,High - Required for client engagement,In Progress,2024-10-18,Internal Trainer,44,
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-29,Azure,Technical,1,4,3,Critical,Intensive Azure training required,Hands-on Project,57,10488,2 months,5,5,5,Pending,High - Critical for project delivery,Cancelled,2024-09-04,Internal Trainer,0,79.0
EMP0009,Employee_EMP0009,Full Stack Development,Senior Developer,2-5 years,Mumbai,2025-07-13,Bootstrap,Technical,2,3,1,Medium,Refresher training for Bootstrap,Workshop,16,2128,3 months,5,5,5,Approved,High - Required for client engagement,Cancelled,2025-04-09,External Trainer,48,92.0
EMP0010,Employee_EMP0010,Data Analytics,Data Analyst,5-8 years,Bangalore,2025-08-03,Communication,Behavioral,1,4,3,Critical,Comprehensive Communication development program,Mentoring,15,1395,2 months,4,1,4,Pending,Low - Nice to have,Cancelled,2025-05-14,External Trainer,55,
EMP0010,Employee_EMP0010,Data Analytics,Data Analyst,5-8 years,Bangalore,2025-07-26,Emotional Intelligence,Behavioral,5,3,0,Low,Maintain Emotional Intelligence effectiveness,Mentoring,6,774,As needed,4,1,4,Pending,Medium - Improves efficiency,In Progress,2025-05-29,Internal Trainer,67,82.0
EMP0010,Employee_EMP0010,Data Analytics,Data Analyst,5-8 years,Bangalore,2025-07-30,Problem Solving,Behavioral,3,5,2,High,Comprehensive Problem Solving development program,Workshop,35,3850,2 months,4,1,4,Approved,Low - Nice to have,In Progress,2024-09-02,External Trainer,97,71.0
